LR,Momentum,Loss Final,Acurácia,Épocas p/ convergir,Tempo (s),Convergiu
0.001,0.5,0.244485,0.9178,200,6.76,False
0.001,0.7,0.219045,0.9231,200,6.0,False
0.001,0.9,0.194968,0.929,200,5.84,False
0.01,0.5,0.182467,0.9339,200,5.79,False
0.01,0.7,0.176958,0.9363,200,5.82,False
0.01,0.9,0.164133,0.9417,200,6.08,False
0.1,0.5,0.151413,0.9458,200,5.83,False
0.1,0.7,0.140153,0.9504,200,5.64,False
0.1,0.9,0.13208,0.9481,200,5.53,False
0.5,0.5,1.817478,0.2965,200,5.53,False
0.5,0.7,0.14225,0.945,200,5.36,False
0.5,0.9,1.841746,0.2606,200,5.1,False
