Topologia,Camadas,Neurônios/Camada,Loss Treino Final,Loss Val. Final,Acurácia Val.,F1-Macro Val.,Épocas Conv.,Tempo (s)
1x10,1,10,0.1862,0.1821,0.9379,0.9468,150,2.04
1x30,1,30,0.162,0.1769,0.9361,0.9455,150,5.82
1x50,1,50,0.1573,0.1728,0.9342,0.9439,150,4.92
1x80,1,80,0.1524,0.1761,0.9372,0.947,150,4.87
1x100,1,100,0.1512,0.1791,0.9386,0.9477,150,5.3
2x10,2,10,0.1692,0.182,0.9368,0.9451,150,2.41
2x30,2,30,0.1393,0.2062,0.9342,0.9438,150,6.21
2x50,2,50,0.1288,0.2365,0.9295,0.9407,150,8.51
2x80,2,80,0.1093,0.2608,0.9295,0.9406,150,7.21
2x100,2,100,0.1096,0.2603,0.9276,0.9386,150,8.43
3x10,3,10,0.1724,0.1914,0.9357,0.9446,150,2.69
3x30,3,30,0.131,0.2666,0.9276,0.9382,150,5.23
3x50,3,50,0.1711,0.3565,0.9137,0.9231,150,7.16
3x80,3,80,0.0967,0.3946,0.9181,0.9319,150,10.7
3x100,3,100,0.0936,0.471,0.917,0.9296,150,11.75
