Reativo Simples,Baseado em Modelo
7,10
3,8
5,11
6,11
8,11
7,12
3,9
11,12
8,13
3,12
4,6
5,10
4,6
3,15
5,13
1,9
4,7
2,16
2,15
8,11
4,9
4,12
8,11
4,10
2,7
7,9
6,8
3,12
6,13
12,9
9,16
3,5
2,9
2,13
5,10
8,9
6,8
7,8
3,13
4,11
5,12
5,13
4,13
3,10
9,7
7,9
3,10
5,11
3,12
5,10
3,12
2,5
7,15
5,12
3,11
6,5
7,14
0,10
4,14
3,14
8,10
7,8
4,9
3,11
5,9
9,9
4,10
5,11
7,8
1,10
12,17
7,14
3,13
1,10
4,12
1,11
6,9
4,12
7,14
8,16
3,9
3,5
6,11
4,10
8,12
4,13
4,11
7,11
1,8
11,9
2,9
5,8
7,7
6,6
4,10
3,14
11,6
3,13
6,14
8,6
